DATAFLOW,LAST UPDATE,freq,age,unit,sex,indic_em,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Austria,2012,78.1,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Austria,2013,78.6,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Austria,2014,78.5,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Austria,2015,78.7,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Austria,2016,79.4,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Austria,2017,79.6,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Austria,2018,79.9,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Austria,2019,80.3,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Austria,2020,79.7,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Austria,2021,80.4,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Austria,2022,80.9,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Austria,2023,81.1,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Belgium,1993,66.7,e,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Belgium,1994,67.4,e,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Belgium,1995,67.8,e,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Belgium,1996,68.2,e,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Belgium,1997,68.7,e,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Belgium,1998,69.5,e,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Belgium,1999,70.3,b,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Belgium,2000,70.6,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Belgium,2001,69.4,b,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Belgium,2002,70.1,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Belgium,2003,70.3,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Belgium,2004,71.4,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Belgium,2005,72.4,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Belgium,2006,72.3,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Belgium,2007,72.9,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Belgium,2008,73.0,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Belgium,2009,72.7,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Belgium,2010,73.5,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Belgium,2011,72.3,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Belgium,2012,72.5,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Belgium,2013,73.2,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Belgium,2014,73.4,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Belgium,2015,73.3,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Belgium,2016,73.3,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Belgium,2017,73.7,b,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Belgium,2018,74.0,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Belgium,2019,74.4,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Belgium,2020,74.0,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Belgium,2021,75.1,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Belgium,2022,76.0,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Belgium,2023,76.1,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Bosnia and Herzegovina,2021,63.4,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Bosnia and Herzegovina,2022,63.6,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Bosnia and Herzegovina,2023,64.3,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Bulgaria,2000,66.2,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Bulgaria,2001,68.3,b,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Bulgaria,2002,67.8,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Bulgaria,2003,67.0,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Bulgaria,2004,68.1,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Bulgaria,2005,68.6,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Bulgaria,2006,71.2,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Bulgaria,2007,73.3,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Bulgaria,2008,74.7,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Bulgaria,2009,73.7,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Bulgaria,2010,71.9,b,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Bulgaria,2011,70.7,b,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Bulgaria,2012,71.6,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Bulgaria,2013,72.8,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Bulgaria,2014,73.4,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Bulgaria,2015,73.8,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Bulgaria,2016,73.2,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Bulgaria,2017,76.0,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Bulgaria,2018,76.3,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Bulgaria,2019,78.3,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Bulgaria,2020,77.3,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Bulgaria,2021,77.3,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Bulgaria,2022,79.1,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Bulgaria,2023,79.6,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Croatia,2000,68.5,e,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Croatia,2001,67.1,e,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Croatia,2002,67.7,e,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Croatia,2003,67.6,e,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Croatia,2004,68.4,e,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Croatia,2005,68.3,e,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Croatia,2006,68.0,e,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Croatia,2007,70.6,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Croatia,2008,70.6,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Croatia,2009,70.5,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Croatia,2010,69.9,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Croatia,2011,69.0,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Croatia,2012,68.8,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Croatia,2013,68.6,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Croatia,2014,70.9,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Croatia,2015,71.6,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Croatia,2016,70.0,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Croatia,2017,70.8,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Croatia,2018,70.5,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Croatia,2019,70.9,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Croatia,2020,71.8,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Croatia,2021,73.8,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Croatia,2022,75.1,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Croatia,2023,75.1,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Cyprus,1997,74.8,e,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Cyprus,1998,74.7,e,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Cyprus,1999,74.8,e,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Cyprus,2000,75.7,e,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Cyprus,2001,76.9,e,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Cyprus,2002,77.6,e,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Cyprus,2003,78.5,e,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Cyprus,2004,78.9,e,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Cyprus,2005,78.5,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Cyprus,2006,79.4,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Cyprus,2007,79.9,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Cyprus,2008,79.5,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Cyprus,2009,79.6,b,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Cyprus,2010,80.0,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Cyprus,2011,79.6,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Cyprus,2012,79.6,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Cyprus,2013,79.8,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Cyprus,2014,80.5,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Cyprus,2015,79.8,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Cyprus,2016,79.0,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Cyprus,2017,79.6,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Cyprus,2018,80.6,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Cyprus,2019,81.7,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Cyprus,2020,81.4,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Cyprus,2021,82.2,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Cyprus,2022,83.8,,
ESTAT:LFSI_EMP_A(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Cyprus,2023,84.5,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Czechia,1998,77.9,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Czechia,1999,77.8,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Czechia,2000,77.4,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Czechia,2001,77.1,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Czechia,2002,76.9,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Czechia,2003,76.5,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Czechia,2004,76.2,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Czechia,2005,76.5,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Czechia,2006,76.4,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Czechia,2007,75.9,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Czechia,2008,75.6,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Czechia,2009,75.8,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Czechia,2010,75.7,,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Czechia,2011,75.8,b,
ESTAT:LFSI_EMP_A_H(1.0),12/12/24 23:00:00,Annual,From 20 to 64 years,Percentage of total population,Total,Persons in the labour force (former name: active persons),Czechia,2012,76.7,,
