DATAFLOW,LAST UPDATE,freq,sex,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Belgium,2014,42.2,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Belgium,2015,42.2,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Belgium,2016,42.5,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Belgium,2017,43.4,b,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Belgium,2018,42.9,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Belgium,2019,42.5,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Belgium,2020,44.5,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Belgium,2021,46.1,b,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Belgium,2022,45.6,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Belgium,2023,45.2,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Belgium,2024,45.3,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Bulgaria,2009,26,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Bulgaria,2010,26.3,b,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Bulgaria,2011,26.7,b,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Bulgaria,2012,27.1,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Bulgaria,2013,27.5,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Bulgaria,2014,27.8,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Bulgaria,2015,28.3,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Bulgaria,2016,28.2,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Bulgaria,2017,26.9,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Bulgaria,2018,27.2,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Bulgaria,2019,27.4,b,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Bulgaria,2020,28.6,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Bulgaria,2021,29.2,b,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Bulgaria,2022,28.6,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Bulgaria,2023,28.9,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Bulgaria,2024,30.7,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Switzerland,2009,41.9,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Switzerland,2010,39.2,b,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Switzerland,2011,39.4,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Switzerland,2012,40.2,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Switzerland,2013,40.8,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Switzerland,2014,41.5,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Switzerland,2015,42,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Switzerland,2016,42.9,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Switzerland,2017,43.2,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Switzerland,2018,43.4,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Switzerland,2019,44.2,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Switzerland,2020,44.9,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Switzerland,2021,43.9,b,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Switzerland,2022,42.6,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Switzerland,2023,43.3,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Switzerland,2024,44.5,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Cyprus,2009,33.8,b,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Cyprus,2010,34.3,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Cyprus,2011,35,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Cyprus,2012,35.8,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Cyprus,2013,37.8,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Cyprus,2014,39.2,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Cyprus,2015,37.8,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Cyprus,2016,37.9,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Cyprus,2017,38.4,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Cyprus,2018,39,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Cyprus,2019,38.2,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Cyprus,2020,39.6,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Cyprus,2021,41.8,b,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Cyprus,2022,41.6,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Cyprus,2023,42.7,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Cyprus,2024,41.7,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Czechia,2009,29.2,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Czechia,2010,30.3,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Czechia,2011,30.4,b,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Czechia,2012,30.9,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Czechia,2013,31.4,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Czechia,2014,31.2,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Czechia,2015,30.5,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Czechia,2016,31.3,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Czechia,2017,31.6,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Czechia,2018,31.9,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Czechia,2019,31.7,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Czechia,2020,32.6,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Czechia,2021,34,b,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Czechia,2022,33.5,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Czechia,2023,34.1,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Czechia,2024,34.6,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Germany,2009,37.2,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Germany,2010,37.6,b,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Germany,2011,37.4,b,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Germany,2012,37.5,b,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Germany,2013,36.9,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Germany,2014,36.9,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Germany,2015,36.9,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Germany,2016,37.2,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Germany,2017,37.1,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Germany,2018,37.3,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Germany,2019,37.7,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Germany,2020,39,b,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Germany,2021,38.5,b,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Germany,2022,38.4,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Germany,2023,39,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Germany,2024,39.4,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Denmark,2009,38.6,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Denmark,2010,39.9,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Denmark,2011,39.7,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Denmark,2012,40,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Denmark,2013,40.2,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Denmark,2014,40,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Denmark,2015,39.7,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Denmark,2016,39.9,b,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Denmark,2017,38.9,b,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Denmark,2018,38.6,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Denmark,2019,39,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Denmark,2020,39.8,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Denmark,2021,40.1,b,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Denmark,2022,39.5,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Denmark,2023,40.2,b,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Denmark,2024,40.8,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Estonia,2009,31.9,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Estonia,2010,32.4,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Estonia,2011,31.9,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Estonia,2012,32.7,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Estonia,2013,33.3,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Estonia,2014,33,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Estonia,2015,32.9,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Estonia,2016,32.6,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Estonia,2017,32.4,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Estonia,2018,33.3,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Estonia,2019,33.9,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Estonia,2020,34.9,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Estonia,2021,37,b,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Estonia,2022,36.9,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Estonia,2023,37.9,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Estonia,2024,36.9,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Greece,2009,31.7,b,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Greece,2010,32.4,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Greece,2011,33.6,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Greece,2012,35.1,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Greece,2013,35.8,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Greece,2014,35.4,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Greece,2015,34.9,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Greece,2016,35.4,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Greece,2017,35,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Greece,2018,35.2,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Greece,2019,35.6,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Greece,2020,36.9,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Greece,2021,37.7,b,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Greece,2022,36.9,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Greece,2023,36.4,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Greece,2024,35.4,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Spain,2009,30.7,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Spain,2010,31.7,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Spain,2011,32.3,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Spain,2012,32.9,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Spain,2013,32.8,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Spain,2014,32.8,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Spain,2015,32.7,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Spain,2016,32.5,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Spain,2017,32.5,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Spain,2018,32.5,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Spain,2019,32.5,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Spain,2020,33.7,,
ESTAT:HTEC_KIA_EMP2(1.0),14/04/2025 23:00,Annual,Total,Total knowledge-intensive activities,Percentage of total employment,Spain,2021,34.2,bd,
