DATAFLOW,LAST UPDATE,freq,unit,nace_r2,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Austria,2005,24.0,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Austria,2006,24.4,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Austria,2007,24.4,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Austria,2008,23.8,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Austria,2009,22.7,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Austria,2010,22.8,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Austria,2011,22.9,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Austria,2012,23.1,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Austria,2013,22.9,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Austria,2014,22.7,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Austria,2015,22.5,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Austria,2016,23.0,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Austria,2017,22.6,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Austria,2018,22.4,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Austria,2019,22.1,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Austria,2020,21.7,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Austria,2021,22.1,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Austria,2022,21.4,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Austria,2023,21.4,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Austria,2024,19.2,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bosnia and Herzegovina,2000,18.5,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bosnia and Herzegovina,2001,18.9,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bosnia and Herzegovina,2002,18.3,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bosnia and Herzegovina,2003,18.5,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bosnia and Herzegovina,2004,19.0,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bosnia and Herzegovina,2005,20.2,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bosnia and Herzegovina,2006,20.4,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bosnia and Herzegovina,2007,20.6,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bosnia and Herzegovina,2008,21.2,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bosnia and Herzegovina,2009,20.5,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bosnia and Herzegovina,2010,21.3,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bosnia and Herzegovina,2011,21.3,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bosnia and Herzegovina,2012,20.9,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bosnia and Herzegovina,2013,21.6,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bosnia and Herzegovina,2014,21.3,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bosnia and Herzegovina,2015,21.6,b,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bosnia and Herzegovina,2016,22.4,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bosnia and Herzegovina,2017,23.1,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bosnia and Herzegovina,2018,23.8,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bosnia and Herzegovina,2019,22.9,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bosnia and Herzegovina,2020,22.8,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bosnia and Herzegovina,2021,24.6,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bosnia and Herzegovina,2022,24.2,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bosnia and Herzegovina,2023,22.7,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bosnia and Herzegovina,2024,20.6,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Belgium,1995,23.6,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Belgium,1996,23.7,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Belgium,1997,24.1,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Belgium,1998,23.6,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Belgium,1999,22.6,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Belgium,2000,22.8,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Belgium,2001,22.1,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Belgium,2002,21.7,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Belgium,2003,21.0,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Belgium,2004,20.8,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Belgium,2005,20.4,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Belgium,2006,19.5,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Belgium,2007,19.5,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Belgium,2008,18.5,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Belgium,2009,17.3,b,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Belgium,2010,17.7,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Belgium,2011,17.6,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Belgium,2012,16.9,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Belgium,2013,17.0,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Belgium,2014,16.7,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Belgium,2015,16.6,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Belgium,2016,16.3,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Belgium,2017,16.5,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Belgium,2018,16.1,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Belgium,2019,16.3,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Belgium,2020,16.0,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Belgium,2021,14.7,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Belgium,2022,16.3,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Belgium,2023,15.1,p,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Belgium,2024,14.2,p,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bulgaria,1995,15.9,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bulgaria,1996,14.5,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bulgaria,1997,21.1,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bulgaria,1998,19.5,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bulgaria,1999,19.6,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bulgaria,2000,20.8,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bulgaria,2001,21.9,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bulgaria,2002,22.0,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bulgaria,2003,23.0,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bulgaria,2004,22.0,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bulgaria,2005,22.4,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bulgaria,2006,23.1,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bulgaria,2007,23.0,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bulgaria,2008,20.8,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bulgaria,2009,21.0,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bulgaria,2010,20.1,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bulgaria,2011,22.4,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bulgaria,2012,23.3,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bulgaria,2013,22.5,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bulgaria,2014,22.6,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bulgaria,2015,23.5,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bulgaria,2016,24.5,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bulgaria,2017,23.8,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bulgaria,2018,21.4,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bulgaria,2019,20.6,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bulgaria,2020,20.4,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bulgaria,2021,19.7,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bulgaria,2022,24.7,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bulgaria,2023,21.4,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Bulgaria,2024,21.3,p,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Switzerland,1995,23.2,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Switzerland,1996,22.7,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Switzerland,1997,22.7,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Switzerland,1998,22.2,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Switzerland,1999,22.1,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Switzerland,2000,21.5,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Switzerland,2001,22.2,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Switzerland,2002,22.1,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Switzerland,2003,21.7,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Switzerland,2004,21.4,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Switzerland,2005,21.6,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Switzerland,2006,22.1,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Switzerland,2007,22.2,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Switzerland,2008,22.3,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Switzerland,2009,20.8,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Switzerland,2010,20.7,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Switzerland,2011,20.9,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Switzerland,2012,20.4,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Switzerland,2013,20.5,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Switzerland,2014,20.0,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Switzerland,2015,19.8,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Switzerland,2016,19.7,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Switzerland,2017,19.9,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Switzerland,2018,20.2,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Switzerland,2019,20.5,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Switzerland,2020,20.4,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Switzerland,2021,21.4,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Switzerland,2022,20.4,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Switzerland,2023,20.4,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Switzerland,2024,20.4,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Cyprus,1995,12.6,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Cyprus,1996,12.4,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Cyprus,1997,12.1,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Cyprus,1998,11.8,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Cyprus,1999,11.5,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Cyprus,2000,11.2,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Cyprus,2001,10.9,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Cyprus,2002,11.0,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Cyprus,2003,10.8,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Cyprus,2004,10.7,,
ESTAT:NAMA_10_A10(1.0),23/04/25 23:00:00,Annual,Percentage of total,Industry (except construction),"Value added, gross",Cyprus,2005,10.1,,
