DATAFLOW,LAST UPDATE,freq,cpatc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Cyprus,2015,1.18,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Cyprus,2016,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Cyprus,2017,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Cyprus,2018,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Cyprus,2019,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Cyprus,2020,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Czechia,2000,0.24,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Czechia,2001,0.44,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Czechia,2002,0.09,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Czechia,2003,0.26,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Czechia,2004,0.41,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Czechia,2005,0.61,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Czechia,2006,0.12,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Czechia,2007,0.6,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Czechia,2008,0.2,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Czechia,2009,0.51,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Czechia,2010,0.73,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Czechia,2011,0.42,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Czechia,2012,0.7,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Czechia,2013,0.67,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Czechia,2014,0.41,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Czechia,2015,0.25,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Czechia,2016,0.17,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Czechia,2017,0.6,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Czechia,2018,0.44,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Czechia,2019,0.89,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Czechia,2020,0.67,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Germany,2000,1.55,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Germany,2001,1.27,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Germany,2002,1.33,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Germany,2003,1.26,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Germany,2004,1.18,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Germany,2005,1.22,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Germany,2006,1.07,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Germany,2007,1.04,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Germany,2008,1.28,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Germany,2009,1.38,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Germany,2010,1.13,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Germany,2011,1.37,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Germany,2012,1.14,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Germany,2013,1.07,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Germany,2014,1.11,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Germany,2015,1.1,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Germany,2016,1,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Germany,2017,0.86,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Germany,2018,1.02,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Germany,2019,1.25,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Germany,2020,0.55,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Denmark,2000,0.59,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Denmark,2001,0.87,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Denmark,2002,0.8,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Denmark,2003,0.92,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Denmark,2004,1.32,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Denmark,2005,1.5,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Denmark,2006,0.52,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Denmark,2007,1.22,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Denmark,2008,0.41,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Denmark,2009,0.19,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Denmark,2010,0.06,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Denmark,2011,0.9,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Denmark,2012,0.77,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Denmark,2013,1.24,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Denmark,2014,1.78,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Denmark,2015,1.01,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Denmark,2016,1.25,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Denmark,2017,1.1,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Denmark,2018,0.97,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Denmark,2019,1.44,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Denmark,2020,0.49,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Estonia,2000,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Estonia,2001,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Estonia,2002,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Estonia,2003,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Estonia,2004,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Estonia,2005,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Estonia,2006,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Estonia,2007,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Estonia,2008,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Estonia,2009,0.75,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Estonia,2010,0.19,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Estonia,2011,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Estonia,2012,0.19,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Estonia,2013,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Estonia,2014,2.28,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Estonia,2015,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Estonia,2016,0.76,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Estonia,2017,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Estonia,2018,0,,
ESTAT:CEI_CIE020(1.0),17/12/24 23:00:00,Annual,Climate change mitigation technologies related to wastewater treatment or waste management,Per million inhabitants,Estonia,2019,0,,
