DATAFLOW,LAST UPDATE,freq,sex,age,unit,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Austria,2019,33.8,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Austria,2020,34.2,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Austria,2021,34.6,b,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Austria,2022,35.6,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Austria,2023,36.6,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Bosnia and Herzegovina,2021,16.0,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Bosnia and Herzegovina,2022,16.4,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Bosnia and Herzegovina,2023,16.9,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,1992,20.7,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,1993,22.2,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,1994,22.9,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,1995,23.3,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,1996,24.5,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,1997,25.6,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,1998,25.3,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,1999,26.7,d,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,2000,27.1,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,2001,27.6,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,2002,28.1,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,2003,29.0,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,2004,30.4,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,2005,31.0,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,2006,31.8,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,2007,32.1,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,2008,32.3,b,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,2009,33.4,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,2010,35.0,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,2011,34.6,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,2012,35.3,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,2013,35.5,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,2014,36.9,b,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,2015,36.9,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,2016,37.5,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,2017,40.3,b,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,2018,40.6,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,2019,40.7,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,2020,42.4,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,2021,44.9,b,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,2022,45.8,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Belgium,2023,44.8,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2000,18.2,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2001,21.3,b,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2002,21.2,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2003,21.3,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2004,21.7,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2005,21.6,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2006,21.9,b,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2007,22.4,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2008,22.8,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2009,23.0,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2010,23.3,b,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2011,23.6,b,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2012,24.0,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2013,25.6,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2014,27.0,b,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2015,27.5,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2016,27.7,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2017,27.8,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2018,28.2,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2019,27.9,b,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2020,29.2,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2021,29.7,b,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2022,29.9,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Bulgaria,2023,30.5,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Switzerland,1996,22.0,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Switzerland,1997,22.2,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Switzerland,1998,22.9,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Switzerland,1999,23.6,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Switzerland,2000,24.2,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Switzerland,2001,25.4,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Switzerland,2002,25.4,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Switzerland,2003,26.9,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Switzerland,2004,28.1,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Switzerland,2005,28.8,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Switzerland,2006,29.9,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Switzerland,2007,31.3,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Switzerland,2008,33.7,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Switzerland,2009,35.0,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Switzerland,2010,33.9,b,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Switzerland,2011,34.0,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Switzerland,2012,35.3,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Switzerland,2013,37.4,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Switzerland,2014,38.4,b,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Switzerland,2015,39.8,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Switzerland,2016,41.2,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Switzerland,2017,42.6,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Switzerland,2018,43.7,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Switzerland,2019,44.4,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Switzerland,2020,45.3,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Switzerland,2021,44.9,b,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Switzerland,2022,44.6,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Switzerland,2023,46.0,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Cyprus,1999,23.0,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Cyprus,2000,25.1,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Cyprus,2001,26.8,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Cyprus,2002,29.1,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Cyprus,2003,29.5,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Cyprus,2004,29.4,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Cyprus,2005,28.8,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Cyprus,2006,30.5,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Cyprus,2007,33.1,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Cyprus,2008,34.5,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Cyprus,2009,34.1,b,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Cyprus,2010,35.7,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Cyprus,2011,37.7,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Cyprus,2012,39.3,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Cyprus,2013,39.3,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Cyprus,2014,40.3,b,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Cyprus,2015,40.5,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Cyprus,2016,41.9,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Cyprus,2017,42.5,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Cyprus,2018,44.1,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Cyprus,2019,44.6,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Cyprus,2020,45.0,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Cyprus,2021,47.0,b,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Cyprus,2022,48.0,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Cyprus,2023,50.7,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Czechia,1998,10.6,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Czechia,1999,11.1,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Czechia,2000,11.5,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Czechia,2001,11.7,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Czechia,2002,11.9,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Czechia,2003,12.0,b,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Czechia,2004,12.3,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Czechia,2005,13.1,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Czechia,2006,13.5,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Czechia,2007,13.7,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Czechia,2008,14.5,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Czechia,2009,15.5,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Czechia,2010,16.8,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Czechia,2011,18.2,b,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Czechia,2012,19.3,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Czechia,2013,20.5,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Czechia,2014,21.5,b,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Czechia,2015,22.2,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Czechia,2016,23.0,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Czechia,2017,23.9,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Czechia,2018,24.3,,
ESTAT:EDAT_LFSE_03(1.0),12/12/24 23:00:00,Annual,Total,From 25 to 64 years,Percentage,Tertiary education (levels 5-8),Czechia,2019,24.2,,
