DATAFLOW,LAST UPDATE,freq,unit,sector,cofog99,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Bulgaria,1995,2.1,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Bulgaria,1996,1.3,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Bulgaria,1997,1.1,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Bulgaria,1998,2.3,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Bulgaria,1999,4.2,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Bulgaria,2000,3.2,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Bulgaria,2001,3.1,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Bulgaria,2002,112.4,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Bulgaria,2003,69.6,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Bulgaria,2004,117.5,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Bulgaria,2005,64.3,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Bulgaria,2006,108.1,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Bulgaria,2007,158.3,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Bulgaria,2008,151.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Bulgaria,2009,145.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Bulgaria,2010,168.7,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Bulgaria,2011,210.5,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Bulgaria,2012,260.3,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Bulgaria,2013,227.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Bulgaria,2014,297.8,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Bulgaria,2015,219.5,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Bulgaria,2016,263.7,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Bulgaria,2017,309.8,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Bulgaria,2018,307.9,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Bulgaria,2019,366.4,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Bulgaria,2020,362.7,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Bulgaria,2021,454.2,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Bulgaria,2022,422.6,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Bulgaria,2023,530.8,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Switzerland,1995,112.3,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Switzerland,1996,147.5,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Switzerland,1997,143.6,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Switzerland,1998,143.6,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Switzerland,1999,151.8,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Switzerland,2000,151.2,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Switzerland,2001,164.7,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Switzerland,2002,169.1,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Switzerland,2003,148.8,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Switzerland,2004,137.3,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Switzerland,2005,165.9,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Switzerland,2006,163.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Switzerland,2007,155.1,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Switzerland,2008,191.5,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Switzerland,2009,192.2,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Switzerland,2010,214.7,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Switzerland,2011,238.7,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Switzerland,2012,283.4,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Switzerland,2013,221.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Switzerland,2014,209.7,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Switzerland,2015,222.2,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Switzerland,2016,218.5,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Switzerland,2017,187.6,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Switzerland,2018,177.7,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Switzerland,2019,185.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Switzerland,2020,208.2,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Switzerland,2021,171.6,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Switzerland,2022,153.7,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Switzerland,2023,189.2,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Cyprus,1995,8.7,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Cyprus,1996,10.3,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Cyprus,1997,12.1,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Cyprus,1998,12.9,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Cyprus,1999,14.1,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Cyprus,2000,14.4,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Cyprus,2001,16.4,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Cyprus,2002,17.9,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Cyprus,2003,20.2,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Cyprus,2004,22.4,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Cyprus,2005,24.7,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Cyprus,2006,26.8,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Cyprus,2007,28.6,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Cyprus,2008,29.9,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Cyprus,2009,31.9,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Cyprus,2010,32.1,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Cyprus,2011,35.7,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Cyprus,2012,32.9,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Cyprus,2013,30.5,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Cyprus,2014,34.7,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Cyprus,2015,34.2,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Cyprus,2016,29.3,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Cyprus,2017,31.1,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Cyprus,2018,31.3,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Cyprus,2019,33.3,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Cyprus,2020,35.4,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Cyprus,2021,36.2,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Cyprus,2022,25.9,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Cyprus,2023,55.4,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Czechia,1995,133.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Czechia,1996,133.9,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Czechia,1997,156.6,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Czechia,1998,177.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Czechia,1999,203.5,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Czechia,2000,216.6,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Czechia,2001,231.2,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Czechia,2002,307.9,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Czechia,2003,318.6,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Czechia,2004,323.7,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Czechia,2005,317.6,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Czechia,2006,351.7,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Czechia,2007,360.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Czechia,2008,404.1,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Czechia,2009,515.8,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Czechia,2010,560.7,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Czechia,2011,585.7,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Czechia,2012,600.4,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Czechia,2013,574.4,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Czechia,2014,554.4,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Czechia,2015,599.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Czechia,2016,606.4,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Czechia,2017,665.8,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Czechia,2018,719.1,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Czechia,2019,773.7,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Czechia,2020,776.6,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Czechia,2021,852.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Czechia,2022,1042.7,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Czechia,2023,1172.2,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Germany,2000,593.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Germany,2001,409.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Germany,2002,398.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Germany,2003,417.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Germany,2004,453.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Germany,2005,485.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Germany,2006,553.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Germany,2007,464.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Germany,2008,540.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Germany,2009,623.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Germany,2010,785.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Germany,2011,718.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Germany,2012,642.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Germany,2013,782.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Germany,2014,683.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Germany,2015,740.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Germany,2016,701.0,,
ESTAT:GOV_10A_EXP(1.0),23/04/25 23:00:00,Annual,Million euro,General government,Waste management,Final consumption expenditure,Germany,2017,812.0,,
